X1,X2,Y
-3.426945327,-2.707344111,-1
-3.279587823,-3.430701519,-1
-5.236011112,-2.774342418,-1
2.35578794,0.5338333877,1
-0.126003653,0.8845913705,1
-5.148406693,-2.437516452,-1
-1.716096017,-0.365447019,-1
-2.899898423,-3.591318003,-1
1.692499925,0.009630478497,1
1.19621089,1.618670955,1
1.399486902,1.216591073,1
-1.044767142,0.02402565138,-1
1.918345506,2.391526237,1
-4.895738858,-4.42374479,-1
0.7829424297,2.697715181,1
-2.084641208,-0.861027289,-1
1.537263334,1.896648911,1
-0.08365561213,-2.78167394,-1
0.6520193145,3.776696583,1
1.0911045,1.322390632,1
-3.00585257,-0.4985287699,-1
1.256966319,2.962330162,1
4.029382761,3.669708818,1
2.824155472,0.2135842379,1
3.557436276,-0.1007731614,1
4.133796805,0.7361880023,1
0.2163069064,-0.7561537433,1
-2.223779748,-3.713989928,-1
-2.957375717,-0.8397878519,-1
4.303992928,5.520947417,1
-1.913550636,-5.032176435,-1
0.7388340922,-2.632326801,-1
2.429948708,2.123744656,1
3.267656132,0.09006902697,1
-0.03448208576,-1.585827627,1
1.405183603,2.32002651,1
-0.6516091831,-3.110295137,-1
2.566853005,2.877409098,1
-0.05107302857,3.385151242,1
0.7302948007,0.02854060457,-1
-2.372806526,-0.8746129526,-1
4.541504493,1.784495887,1
-1.634155426,-1.001518921,-1
-1.267151478,0.6194079385,-1
-3.460886967,-4.155790717,-1
1.577029514,-0.8285522206,-1
-2.248539985,0.7441778337,1
1.316381643,4.10288138,1
-2.418034315,-2.261868276,-1
-1.34431665,-1.562184138,-1
-3.208028393,-2.713683634,-1
1.958513295,1.101095263,1
-1.24693126,-4.4175576,-1
-2.693127877,-3.107532386,-1
-0.2623932645,-1.536132387,-1
0.739943462,0.4941088847,1
2.317604662,0.4966665989,1
0.2166330439,-0.3849908629,-1
1.919374079,-3.734334543,-1
-2.51157381,-3.178663421,-1
-3.99324281,-1.948779518,-1
0.844797643,-1.766338506,-1
-0.9025424732,-0.1279971716,-1
-2.726742464,-2.13742695,-1
1.008090535,1.071641861,1
-0.3962325964,1.280664206,1
0.306925677,2.764243721,1
0.5330208812,2.792805552,1
-1.82930911,-0.3226058869,-1
0.109721248,-4.982086968,-1
4.04236443,1.555588166,1
-2.005958133,-1.201346432,-1
0.755774135,-1.64729951,-1
1.522871512,3.721206756,1
0.871285069,5.539971933,1
2.797705141,2.556063772,1
0.3504162806,-2.516838244,-1
0.655846058,-3.078990973,-1
0.5616871727,-0.9053723395,1
0.7991821356,3.325826386,1
2.544446077,2.531661894,1
1.24225698,-0.608425409,-1
-3.949083077,-1.606446305,-1
3.908246716,0.2734622249,1
-0.009143666567,2.851248844,1
-3.414906081,-1.934202605,-1
-1.632224843,-3.003723716,-1
1.594207018,2.657313505,1
-1.493189475,-2.183195952,-1
-0.9605441435,0.3982324526,1
1.127452343,-2.551749779,-1
2.499970971,1.438021303,1
2.133336316,1.7678264,1
-2.161133862,1.409681093,-1
1.044629727,-1.608261494,-1
-0.50210407,-0.2128024233,1
1.895018793,2.750488952,1
3.720886235,-1.903175777,1
-2.351054426,-3.063190945,-1
-1.200699006,-0.2876704444,-1
3.505989908,1.107613135,1
-0.1718917289,-3.622402857,-1
-0.7952749924,0.6626466894,1
4.304591212,2.183168352,1
2.742965952,3.278733596,1
-5.206882443,-2.450568149,-1
-2.981911922,-1.874255806,-1
-0.4260047259,-3.11658454,-1
3.433674671,2.847096206,1
-4.117970519,-1.881343282,-1
-1.514140742,-0.5288611978,-1
0.3440581142,3.865964767,1
3.297540011,3.958028078,1
1.13276985,-3.180845865,-1
-1.484798683,-3.698418674,-1
1.448690216,3.141297219,1
2.476065966,1.267584204,1
1.304959956,3.300956461,1
-0.223269879,-1.148254321,-1
-3.219216903,-2.115986189,-1
0.05532190877,-2.652286681,-1
-0.3543837692,1.225819411,1
1.235641447,2.862305462,1
5.199741493,1.755390747,1
-2.45844625,-1.825986449,-1
-0.6873556241,0.8408036469,1
0.5300073314,1.852983248,1
1.904673502,2.903977906,1
-2.886405302,-1.072950853,-1
3.30167181,-0.8135862167,1
-0.5382484857,-0.6963860803,-1
2.343560343,2.661554478,1
2.26087298,1.141478187,1
1.030700136,-0.6714496342,-1
-1.79756191,-1.62949132,-1
0.08403350652,2.034808389,1
1.880240576,0.4968231242,-1
1.240063219,-0.178001869,1
0.4192129494,2.272848561,1
-2.025636719,-3.558574145,-1
-0.448739817,4.509419242,1
2.390034284,0.8794247996,1
2.000875143,2.502066338,1
0.5482881739,0.3581706836,1
-2.870938005,-2.931805263,-1
2.072965943,0.7320846052,1
2.884904273,0.7398772047,1
1.919998301,1.491270315,1
-1.232984073,-1.575025474,-1
1.752278345,0.1809445865,1
0.3369013128,-0.9985029677,-1
-1.679172071,-2.806150665,-1
-3.329840902,-4.787914994,-1
-1.930578279,-0.3525999577,-1
-1.933783755,-2.819957267,-1
1.824963736,3.176911013,1
3.114217819,2.156197314,1
-1.159769896,-2.528254715,-1
0.4166073998,-2.772553907,-1
-0.9962372246,-3.249591226,-1
-2.347403046,0.1695597312,-1
-1.109878611,0.1763876571,-1
-5.132777143,-2.199925636,-1
0.1490721088,-2.902922483,-1
